Hour,Energy
0,-0.755371216206087
1,-0.7571905894596918
2,-0.7574788567283604
3,-0.5894345440036078
4,-0.5135379960088929
5,0.2976801539825161
6,0.6514237231551064
7,0.6478469800937587
8,0.6462217612648571
9,0.6688598964725581
10,0.6684760858752585
11,0.6610900012242498
12,0.6488645295721049
13,0.6176099942798952
14,0.43363746518747803
15,0.3614906272608793
16,0.3496325832652612
17,0.33894436782228365
18,0.3240831516243058
19,-0.492997671315452
20,-0.754205506032821
21,-0.7556072594573715
22,-0.7556785034472762
23,-0.7564869075742157
