Hour,Energy
0,0.9135977337110481
1,0.9143059490084986
2,0.9093484419263456
3,0.9079320113314447
4,1.7677053824362605
5,2.301699716713881
6,6.5594900849858355
7,9.114022662889518
8,9.420679886685553
9,9.389518413597735
10,9.494334277620396
11,9.654154863080736
12,9.70632672332153
13,9.71813031161473
14,9.61083569405099
15,8.688031161473088
16,8.218838526912181
17,8.21742209631728
18,8.16643059490085
19,8.056657223796034
20,3.660410764872521
21,1.246458923512748
22,0.9107648725212465
23,0.9135977337110481
