Actual_Energy,Predicted_Energy
13.0,12.38278230352423
0.0,0.0
0.0,0.0
0.0,0.0
7.0,6.439919564605856
0.0,0.0
12.0,12.644351541382031
6.0,3.675
0.0,0.0
13.0,12.566056608616073
0.0,0.0
7.0,4.765
0.0,0.0
12.0,12.56545129760247
12.0,12.15
13.0,12.300118714251076
12.0,12.499852722140922
12.0,12.34787153930564
0.0,0.0
0.0,0.0
14.0,12.53836347217576
0.0,0.0
12.0,12.344195052449999
0.0,0.0
0.0,0.0
12.0,13.16318063966724
0.0,0.0
0.0,0.0
13.0,12.53419787492405
12.0,12.313294672420746
13.0,12.314801809888895
0.0,0.0
0.0,0.0
0.0,0.04
0.0,0.0
12.0,12.405360526842598
12.0,10.553571428571429
13.0,12.362323413754869
0.0,0.0
13.0,12.745306438698467
0.0,0.0
9.0,8.7
0.0,0.0
0.0,0.0
12.0,12.544575323585157
12.0,12.231947122857491
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.442908847242391
12.0,12.896568604863273
0.0,0.0
0.0,0.0
12.0,11.971457825764903
0.0,0.0
13.0,12.49054502435319
12.0,12.835879711700002
0.0,0.0
0.0,0.0
0.0,0.0
13.0,12.515135036182539
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.803643745660917
13.0,12.262540468772508
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.0,7.748878244139031
12.0,12.24245787506396
0.0,0.0
12.0,12.714845091268273
0.0,0.0
13.0,12.514956083848917
12.0,12.803727073402715
12.0,12.828461538461537
0.0,0.0
9.0,7.033116432121733
0.0,0.0
13.0,12.516339474151982
14.0,12.53776869358574
13.0,12.969412566844083
12.0,11.666470588235292
12.0,12.346852364080535
13.0,12.663361240510696
13.0,12.415455436949093
0.0,0.0
0.0,0.0
7.0,6.672455281184548
12.0,12.514424289376532
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.408005850997608
0.0,0.0
0.0,0.0
12.0,12.379630054234745
12.0,12.190043535009051
14.0,12.489305925713632
0.0,0.0
12.0,12.530875686603377
12.0,12.175136237539116
0.0,0.0
0.0,0.0
14.0,12.816460117758261
0.0,0.0
0.0,0.0
13.0,12.861488727214974
12.0,8.453711382113822
12.0,12.25997757718506
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.541380062649647
0.0,0.0
13.0,12.19012054382454
0.0,0.0
0.0,0.0
12.0,12.774984075745735
13.0,12.178164041695352
0.0,0.0
0.0,0.0
13.0,12.347519619848326
14.0,12.93452953116923
1.0,1.22
0.0,0.0
0.0,0.0
0.0,0.0
13.0,11.63765850761903
0.0,0.0
0.0,0.57
0.0,0.0
13.0,12.13618192108245
13.0,12.660481652945625
12.0,10.45
12.0,12.14791245963402
0.0,0.0
0.0,0.015
0.0,0.025
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.01
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.241305334461224
14.0,12.305402340880576
0.0,0.0
12.0,12.41501145234355
12.0,11.991308724832216
0.0,0.0
12.0,12.468119442587243
13.0,12.385821602038188
0.0,0.0
0.0,0.0
14.0,12.667539041709185
12.0,12.363507129860022
13.0,12.322375670601708
12.0,12.463407848335164
12.0,8.5
0.0,0.0
12.0,12.17307238541216
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.271768535434092
0.0,0.0
13.0,12.38044906917838
12.0,12.613981718531539
12.0,11.02161507061725
0.0,0.0
0.0,0.0
0.0,0.0
12.0,11.713812101471305
12.0,12.27470327752315
0.0,0.0
0.0,0.0
12.0,12.472314119865402
12.0,12.186858328106496
13.0,12.579008062288505
0.0,0.0
0.0,0.0
6.0,6.295770685517396
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.256087685554416
14.0,12.58772088231334
12.0,12.336360777191043
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.440754797860897
0.0,0.0
13.0,12.674014960463557
12.0,12.313647946745885
0.0,0.065
11.0,11.831120689655172
12.0,12.347760781597001
13.0,12.744640677445545
12.0,12.282855426232887
14.0,12.777284240422816
0.0,9.465
12.0,12.987063717153525
0.0,0.0
13.0,10.63
12.0,11.974518610658043
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.005
13.0,12.154693354547646
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
14.0,12.318825611494608
13.0,12.899880444665678
0.0,0.0
0.0,0.0
0.0,0.52
0.0,0.0
12.0,12.426863474222847
0.0,0.14
0.0,0.0
6.0,7.066676364477392
6.0,6.29710115796912
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.237253914289386
0.0,0.0
0.0,0.0
14.0,12.474604238929992
0.0,0.0
13.0,11.8229561019347
0.0,0.0
6.0,5.74
0.0,0.0
12.0,12.12919298683719
0.0,0.0
14.0,12.318881071449297
0.0,0.0
14.0,12.299551718737005
0.0,0.0
0.0,0.0
12.0,12.79785788215642
0.0,0.0
1.0,0.7
12.0,12.096529320810266
12.0,12.332916691953777
14.0,12.276460830372903
9.0,12.013024277454111
0.0,0.66
12.0,12.455658108487164
7.0,6.649227998021745
0.0,0.0
0.0,0.0
12.0,12.300160081294777
12.0,12.871717679477047
0.0,0.0
12.0,12.979360336018837
0.0,0.0
0.0,0.0
6.0,6.3806952221522435
0.0,0.0
12.0,12.740682512904781
0.0,0.0
13.0,12.976044961052155
0.0,0.0
0.0,0.0
12.0,10.974214564942713
0.0,0.0
0.0,0.0
12.0,12.252950495013849
0.0,0.0
0.0,0.0
2.0,4.18
12.0,11.966793290649964
12.0,12.256521214658889
0.0,0.0
0.0,0.0
0.0,0.0
12.0,12.067910573190316
13.0,12.444637513256835
12.0,12.442111484762414
0.0,0.0
12.0,12.323185431633835
12.0,12.505026755262259
0.0,0.0
13.0,12.433252481290603
0.0,0.0
0.0,0.0
13.0,12.79118982212112
0.0,0.0
12.0,12.96561309028288
12.0,12.297911483023192
0.0,0.0
12.0,12.184729541918427
0.0,0.0
13.0,13.107431603281752
0.0,0.0
0.0,0.0
0.0,0.33
0.0,0.0
0.0,0.0
13.0,12.534174760489341
12.0,12.263116063159863
13.0,13.080813679074549
12.0,12.579611870406927
13.0,12.241900643274029
0.0,0.0
0.0,0.0
13.0,12.520369127072243
0.0,0.0
0.0,0.0
13.0,12.819519844423558
12.0,12.285510441992887
12.0,11.952988064202323
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
13.0,12.652521978988613
0.0,0.0
0.0,0.0
12.0,12.435747874831327
12.0,12.21725754121752
14.0,12.43800433136302
0.0,8.840769230769231
0.0,0.0
0.0,0.0
0.0,0.075
12.0,12.128605384090541
12.0,12.442677046835145
0.0,0.0
0.0,0.0
